player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Steven Adams,adamsst01,2020,RS,OKC,3280,1564,.8059641183196793,1.302363771996101,2.10832789031578,1.425620167267523,.6076077697243607,2.033227936991884,.9761802558447528,1.239050394842652,2.215230650687405,3.94296941499536,3.94296941499536,0,.4341281782048385,1.512824511580326,1.946952689785165,-.4903076963817831
Bam Adebayo,adebaba01,2020,RS,MIA,4573,2235,-1.130312796036001,2.178825772222249,1.048512976186248,2.520221850995509,.7236790543028084,3.243900905298318,-.4718356783863216,1.986696956127314,1.514861277740993,4.827047666687684,4.827047666687684,0,-.543516726557243,1.231127680934896,.6876109543776533,-.7582276882644622
LaMarcus Aldridge,aldrila01,2020,RS,SAS,3648,1754,-.6972111500703193,.9325748549192074,.2353637048488881,-.8898463336310507,-.860926655460626,-1.750772989091677,-.8143094619401345,.6617175482049014,-.1525919137352332,2.293608780912781,2.293608780912781,0,-.6730777623907297,1.163624767516851,.4905470051261213,-1.350680261607965
Nickeil Alexander-Walker,alexani01,2020,RS,NOP,1098,501,-3.10333871746412,-1.352977190851601,-4.45631590831572,.8028330575330781,-3.488276298029757,-2.685443240496679,-2.485772099660903,-1.855968067188923,-4.341740166849826,-.4089472503208388,-.4089472503208388,0,-.997846139673075,-2.072421027467912,-3.070267167140987,.5218693200840618
Grayson Allen,allengr01,2020,RS,MEM,1100,498,-.3163882835911416,-1.399642772997817,-1.716031056588958,-1.018663671060138,-3.134042797426965,-4.152706468487104,-.4601443638858597,-1.843999717613312,-2.304144081499172,.113830268747223,.113830268747223,0,-.8203215111184459,-2.474924780150289,-3.295246291268735,.492725151842946
Jarrett Allen,allenja01,2020,RS,BRK,3484,1647,-1.28931294591922,2.99128803080187,1.70197508488265,2.228544660900113,-.3127508479002404,1.915793812999873,-.6259038456062612,2.461272329481324,1.835368483875063,3.829963075542578,3.829963075542578,0,-1.021243005068779,2.15376886333747,1.132525858268691,-.6118577046466338
Kadeem Allen,allenka01,2020,RS,NYK,252,117,.9374327592755931,4.922048349377029,5.859481108652622,2.21035892604957,-6.463243355456454,-4.252884429406884,1.354915718279256,2.920759851038156,4.275675569317412,.4144625177686965,.4144625177686965,0,2.020814051018199,1.410202917668836,3.431016968687034,-1.197243743944836
Al-Farouq Aminu,aminual01,2020,RS,ORL,793,380,-4.240805369096515,2.213133127498877,-2.027672241597638,-9.718044061322857,5.270279431104724,-4.447764630218133,-5.627479207809483,2.976888840588444,-2.650590367221039,.019193759691134,.019193759691134,0,-5.058407130862729,2.540548130683619,-2.51785900017911,-.4200053941137244
Justin Anderson,anderju01,2020,RS,BRK,38,17,-7.863352171488064,4.111666241093033,-3.751685930395031,-19.9211112314491,11.93108674789694,-7.990024483552157,-10.86292332806991,5.97942024958708,-4.883503078482827,-.018420937238256,-.018420937238256,0,-10.08475790394481,1.914195145568308,-8.170562758376501,-.4617266157522951
Kyle Anderson,anderky01,2020,RS,MEM,2489,1140,-1.184539461268458,1.27981733082669,.0952778695582317,-5.8817999374965,2.269020519379052,-3.612779418117448,-2.210968337511126,1.565924760322461,-.6450435771886649,1.2254073713606,1.2254073713606,0,-2.927471039283501,.8865319185401155,-2.040939120743385,.0921007192532697
Ryan Anderson,anderry01,2020,RS,HOU,33,14,-10.92133740440672,-1.882341366416751,-12.80367877082347,7.157074947413401,6.769316733568796,13.9263916809822,-7.777829580470161,-.109613387070047,-7.887442967540208,-.0379990802253209,-.0379990802253209,0,-6.125557047199747,-1.510765843233037,-7.636322890432783,3.621848444522956
Giannis Antetokounmpo,antetgi01,2020,RS,MIL,3946,1763,5.631649230693444,3.131111113363955,8.7627603440574,2.532006267511186,6.794749196781542,9.326755464292727,5.254452107434799,3.990124365541304,9.244576472976103,10.98408510904411,10.98408510904411,0,5.095979392687316,3.397830658001331,8.493810050688648,1.844693853103729
Kostas Antetokounmpo,antetko01,2020,RS,LAL,12,5,-1.013923498681983,-18.02315832994715,-19.03708182862914,9.335022290455131,-20.04612562741577,-10.71110333696064,1.045905838788834,-19.7180566421668,-18.67215080337796,-.040108485655389,-.040108485655389,0,-1.65694093942398,-13.61704786662465,-15.27398880604863,-1.277679931396001
Thanasis Antetokounmpo,antetth01,2020,RS,MIL,214,93,-1.092900293449262,1.439519027563837,.3466187341145759,-4.406881401410185,.55345481547426,-3.853426585935925,-1.94782472574596,1.184877219647374,-.7629475060985864,.0961976427086872,.0961976427086872,0,-1.118623879170927,.9528854468602579,-.165738432310669,2.070955869695368
Carmelo Anthony,anthoca01,2020,RS,POR,3385,1623,-2.405317842852619,-3.377894271740709,-5.783212114593328,2.389696774672475,-3.190448152305013,-.8007513776325377,-1.584973094137429,-3.509959867908873,-5.094932962046302,-1.920150985094617,-1.920150985094617,0,-1.034159765062266,-3.283328647252481,-4.317488412314747,-1.133383531642128
OG Anunoby,anunoog01,2020,RS,TOR,4015,1897,-1.515004770963211,2.123356056243241,.6083512852800295,2.031553945686969,-2.045095755181012,-.0135418094940425,-.8845422989820814,1.331524683450739,.4469823844686579,3.092369991377925,3.092369991377925,0,-.9093013849847329,1.839395961316826,.9300945763320931,-.0602269861574937
Ryan Arcidiacono,arcidry01,2020,RS,CHI,1990,930,-.581817573157744,1.97067231333698,1.388854740179236,-2.266164951603268,1.509330936275896,-.7568340153273723,-.916676673561124,2.007874021704389,1.091197348143265,1.824815698259949,1.824815698259949,0,-1.848035846474808,1.315706687431887,-.5323291590429207,.1242818087144825
