player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Furkan Korkmaz,korkmfu01,2020,2973,1398,0.005467646,0.433948034,0.439415679,0.065973918,-1.010222926,-0.944249008,0.013734927,0.127878716,0.141613643,2.063627647,2.063627647,0,0.476646554,-0.009877271,0.466769283,0.057177556
Luke Kornet,kornelu01,2020,1181,559,-3.107098799,-3.149847535,-6.256946334,-1.576029066,-1.50615381,-3.082182876,-2.922239084,-3.033325784,-5.955564868,-0.910940232,-0.910940232,0,-3.174309693,-2.08628758,-5.260597273,-0.367257835
Kyle Korver,korveky01,2020,1877,833,0.819048201,0.315696338,1.134744539,1.165938283,-1.615392798,-0.449454515,0.907495662,-0.177286726,0.730208936,1.491629993,1.491629993,0,0.640590196,-0.545001552,0.095588644,0.86544917
Rodions Kurucs,kurucro01,2020,1107,501,-3.366029527,0.577904853,-2.788124674,-4.329088082,4.888373011,0.559284929,-3.761468068,1.504149177,-2.25731889,0.127505675,0.127505675,0,-3.216490172,0.309211881,-2.90727829,1.272374542
Kyle Kuzma,kuzmaky01,2020,2864,1327,-2.827423045,-0.245752399,-3.073175445,-1.351403092,-0.151619051,-1.503022143,-2.751377598,-0.311294658,-3.062672255,-0.211790715,-0.211790715,0,-2.05212303,-0.336916608,-2.389039638,0.048425883
Skal Labissiere,labissk01,2020,1221,567,-1.164013048,-0.317686084,-1.481699132,-1.313548065,2.528783661,1.215235596,-1.277727095,0.328931129,-0.948795966,0.520090773,0.520090773,0,-1.156539676,0.331748778,-0.824790898,-0.189372815
Jeremy Lamb,lambje01,2020,2672,1291,0.506087474,1.511728355,2.017815829,-0.673134973,-2.912447204,-3.585582178,0.287104906,0.6580819,0.945186805,2.427613178,2.427613178,0,0.19567754,1.165903073,1.361580613,-0.263483205
Romeo Langford,langfro01,2020,628,298,-3.127563195,0.872072867,-2.255490328,-0.279741995,3.545398954,3.265656959,-2.785680354,1.442535367,-1.343144987,0.213791865,0.213791865,0,-3.675406948,-0.063533217,-3.738940165,-0.050442482
Zach LaVine,lavinza01,2020,4381,2085,1.076565698,-0.089722958,0.98684274,1.025124128,-6.031298572,-5.006174444,1.203507812,-1.321148616,-0.117640804,2.81288741,2.81288741,0,1.636889856,-1.173493896,0.46339596,0.461411242
Vic Law,lawvi01,2020,20,9,-23.96869152,7.004984375,-16.96370715,-38.63009657,13.96395124,-24.66614533,-28.43423754,8.913144003,-19.52109354,-0.076877127,-0.076877127,0,-22.19918802,1.810204357,-20.38898366,-0.175292987
Jake Layman,laymaja01,2020,1154,505,-2.516657198,-0.921959529,-3.438616726,-0.745906487,5.055418456,4.309511969,-2.282280011,0.285572585,-1.996707426,0.195728922,0.195728922,0,-3.001685611,-0.076297628,-3.077983239,0.862880281
TJ Leaf,leaftj01,2020,424,193,-1.02020281,-0.162587541,-1.182790351,-7.274775225,5.078000711,-2.196774514,-2.385810811,0.879725137,-1.506085674,0.122595865,0.122595865,0,-2.275189717,-0.214382827,-2.489572544,0.091046933
Jalen Lecque,lecquja01,2020,57,26,-2.670750447,-0.525023768,-3.195774216,-4.168491805,-7.684853415,-11.85334522,-3.104256263,-1.985165371,-5.089421634,-0.031099644,-0.031099644,0,1.081747545,-2.944773531,-1.863025986,0.219332511
Courtney Lee,leeco01,2020,728,345,-1.472481001,-0.58886479,-2.061345791,3.760449271,-2.719344001,1.04110527,-0.510729514,-1.102383127,-1.613112641,0.198998622,0.198998622,0,-0.580877342,-1.056171635,-1.637048977,-0.568252906
Damion Lee,leeda03,2020,3055,1423,-0.72216212,0.170264752,-0.551897367,1.341768827,1.95265633,3.294425157,-0.262171817,0.578645366,0.316473549,2.239239431,2.239239431,0,-0.674323005,1.07897087,0.404647866,0.592462894
Alex Len,lenal01,2020,1951,895,-1.604098219,2.423535276,0.819437057,-4.721918958,1.973227861,-2.748691098,-2.319915146,2.534310737,0.214395592,1.356355149,1.356355149,0,-1.938997375,1.23955306,-0.699444315,-0.217489379
Kawhi Leonard,leonaka01,2020,3452,1643,5.635858945,2.969058263,8.604917208,5.647547599,4.216798962,9.864346561,5.932267196,3.371481284,9.303748479,10.07341773,10.07341773,0,6.004078935,3.787063635,9.79114257,-0.310238674
Meyers Leonard,leoname01,2020,2012,987,-2.133845843,-0.29627438,-2.430120223,1.060318475,2.02739224,3.087710715,-1.632002718,0.138655342,-1.493347376,0.630382844,0.630382844,0,-1.955990136,-0.483653732,-2.439643868,-0.391005127
Caris LeVert,leverca01,2020,2423,1131,1.360505414,0.43136884,1.791874254,0.419371405,-1.799455553,-1.380084148,1.302932322,-0.021511319,1.281421002,2.335179949,2.335179949,0,0.803846966,-0.255036632,0.548810334,0.39031238
Damian Lillard,lillada01,2020,4551,2140,8.471430507,-2.459651999,6.011778508,3.518172303,0.523726514,4.041898817,7.894742895,-1.953493878,5.941249018,9.587643295,9.587643295,0,8.057582849,-1.881057638,6.176525211,1.056271603
Nassir Little,littlna01,2020,1244,573,-1.937873277,-1.437996286,-3.375869563,0.675713983,-2.214501559,-1.538787576,-1.510988818,-1.634539672,-3.14552849,-0.115317699,-0.115317699,0,-1.07417569,-2.473816351,-3.547992041,-0.275957877
Kevon Looney,looneke01,2020,563,262,-4.563041636,1.066765247,-3.496276389,-7.251688478,-1.68019952,-8.931887998,-5.35707625,0.633496306,-4.723579944,-0.262470912,-0.262470912,0,-6.006626223,0.213304077,-5.793322146,-0.518827007
Brook Lopez,lopezbr01,2020,3606,1622,-2.614806175,4.515386068,1.900579893,0.413299034,1.478441578,1.891740612,-2.172963183,3.970035287,1.797072104,3.775277887,3.775277887,0,-1.860430549,4.260468534,2.400037985,0.335324183
Robin Lopez,lopezro01,2020,1907,862,-3.128982445,1.33380914,-1.795173305,-2.749494022,-0.565603114,-3.315097135,-3.283048211,0.830843363,-2.452204848,0.130470498,0.130470498,0,-4.016939773,0.530836019,-3.486103754,-0.387393529
Kevin Love,loveke01,2020,3715,1780,1.27987903,-0.962393327,0.317485702,1.849713738,-3.495089169,-1.645375431,1.520097478,-1.469429548,0.05066793,2.572542528,2.572542528,0,2.552210193,-1.679498235,0.872711958,1.166653739
Kyle Lowry,lowryky01,2020,4046,1901,4.14572565,0.995366952,5.141092602,-0.937043596,0.199112085,-0.737931511,3.312855336,0.840810868,4.153666203,6.771548265,6.771548265,0,3.45774711,1.218196602,4.675943711,1.153624679
Timothe Luwawu-Cabarrot,luwawti01,2020,1448,671,-0.749997273,1.004693546,0.254696273,-5.789963361,3.575834527,-2.214128834,-1.835635133,1.589089593,-0.24654554,0.860582743,0.860582743,0,-1.810142902,0.752822088,-1.057320814,0.421152059
Trey Lyles,lylestr01,2020,2669,1271,-1.350815571,-1.825385691,-3.176201261,2.522865425,-1.92410927,0.598756155,-0.620723477,-1.920962661,-2.541686138,0.135116225,0.135116225,0,-0.534116863,-1.648107584,-2.182224448,0.024264415
Daryl Macon,maconda01,2020,29,14,-8.312227858,4.412993527,-3.899234331,-17.44867212,22.39326698,4.944594865,-10.79502411,8.424934063,-2.370090047,0.002697078,0.002697078,0,-13.10136368,1.858996999,-11.24236668,-0.621646137
J.P. Macura,macurjp01,2020,2,1,-3.955222113,3.732247303,-0.22297481,29.20489658,66.41651868,95.62141525,2.682480643,16.83534044,19.51782108,0.010895008,0.010895008,0,-1.654023381,6.192608724,4.538585343,-4.182955051
Josh Magette,magetjo01,2020,79,38,-7.248644785,10.20976487,2.961120088,-7.858717769,10.2459195,2.387201729,-7.788388758,10.80730628,3.018917527,0.114549671,0.114549671,0,-5.566189286,8.249445036,2.68325575,2.465500861
Ian Mahinmi,mahinia01,2020,1718,808,-2.817432242,2.962806544,0.145374302,-1.135466887,0.140897984,-0.994568903,-2.658505948,2.657722515,-0.000783433,1.132687546,1.132687546,0,-2.367489353,2.301033701,-0.066455652,-0.058833967
